zipcode,city,central_flag
98001,Algona,FALSE
98001,Auburn,FALSE
98001,Federal Way,FALSE
98002,Auburn,FALSE
98003,Auburn,FALSE
98003,Federal Way,FALSE
98004,Beaux Arts Village,FALSE
98004,Bellevue,FALSE
98004,Clyde Hill,FALSE
98004,Hunts Point,FALSE
98004,Yarrow Point,FALSE
98005,Bellevue,FALSE
98006,Bellevue,FALSE
98007,Bellevue,FALSE
98008,Bellevue,FALSE
98009,Bellevue,FALSE
98010,Black Diamond,FALSE
98011,Bothell,FALSE
98013,Burton,FALSE
98013,Vashon,FALSE
98014,Carnation,FALSE
98015,Bellevue,FALSE
98019,Duvall,FALSE
98022,Enumclaw,FALSE
98023,Auburn,FALSE
98023,Federal Way,FALSE
98024,Fall City,FALSE
98025,Hobart,FALSE
98027,Issaquah,FALSE
98028,Kenmore,FALSE
98028,Bothell,FALSE
98029,Issaquah,FALSE
98030,Kent,FALSE
98031,Kent,FALSE
98032,Kent,FALSE
98033,Kirkland,FALSE
98034,Kirkland,FALSE
98035,Kent,FALSE
98038,Maple Valley,FALSE
98039,Medina,FALSE
98040,Mercer Island,FALSE
98041,Bothell,FALSE
98042,Covington,FALSE
98042,Kent,FALSE
98045,North Bend,FALSE
98047,Auburn,FALSE
98047,Pacific,FALSE
98050,Preston,FALSE
98051,Ravensdale,FALSE
98052,Redmond,FALSE
98053,Redmond,FALSE
98054,Redondo,FALSE
98055,Renton,FALSE
98056,Newcastle,FALSE
98056,Renton,FALSE
98057,Renton,FALSE
98058,Renton,FALSE
98059,Newcastle,FALSE
98059,Renton,FALSE
98062,Seahurst,FALSE
98063,Auburn,FALSE
98063,Federal Way,FALSE
98064,Kent,FALSE
98065,Snoqualmie,FALSE
98068,Snoqualmie Pass,FALSE
98068,Snoqualmie,FALSE
98070,Vashon,FALSE
98071,Auburn,FALSE
98072,Woodinville,FALSE
98073,Redmond,FALSE
98074,Sammamish,FALSE
98074,Redmond,FALSE
98075,Sammamish,FALSE
98075,Issaquah,FALSE
98083,Kirkland,FALSE
98092,Auburn,FALSE
98093,Auburn,FALSE
98093,Federal Way,FALSE
98101,Seattle,TRUE
98102,Seattle,TRUE
98103,Seattle,TRUE
98104,Seattle,TRUE
98105,Seattle,TRUE
98106,Seattle,TRUE
98107,Seattle,TRUE
98108,Seattle,TRUE
98108,Tukwila,TRUE
98109,Seattle,TRUE
98111,Seattle,FALSE
98112,Seattle,FALSE
98114,Seattle,FALSE
98115,Seattle,FALSE
98116,Seattle,FALSE
98117,Seattle,FALSE
98118,Seattle,TRUE
98119,Seattle,FALSE
98121,Seattle,TRUE
98122,Seattle,TRUE
98124,Seattle,FALSE
98125,Seattle,FALSE
98126,Seattle,FALSE
98131,Seattle,FALSE
98132,Seattle,FALSE
98133,Seattle,FALSE
98133,Shoreline,FALSE
98134,Seattle,FALSE
98136,Seattle,FALSE
98138,Seattle,FALSE
98138,Tukwila,FALSE
98144,Seattle,FALSE
98145,Seattle,FALSE
98146,Burien,FALSE
98146,Seattle,FALSE
98148,Burien,FALSE
98148,Des Moines,FALSE
98148,Normandy Park,FALSE
98148,Seatac,FALSE
98148,Seattle,FALSE
98154,Seattle,FALSE
98155,Lk Forest Park,FALSE
98155,Lk Forest Pk,FALSE
98155,Lake Forest Park,FALSE
98155,Seattle,FALSE
98155,Shoreline,FALSE
98158,Seatac,FALSE
98158,Seattle,FALSE
98160,Seattle,FALSE
98161,Seattle,FALSE
98164,Seattle,FALSE
98166,Burien,FALSE
98166,Normandy Park,FALSE
98166,Seattle,FALSE
98168,Burien,FALSE
98168,Seatac,FALSE
98168,Seattle,FALSE
98168,Tukwila,FALSE
98171,Seattle,FALSE
98174,Seattle,FALSE
98177,Seattle,FALSE
98177,Shoreline,FALSE
98178,Seattle,FALSE
98178,Tukwila,FALSE
98188,Seatac,FALSE
98188,Seattle,FALSE
98188,Tukwila,FALSE
98198,Des Moines,FALSE
98198,Normandy Park,FALSE
98198,Seatac,FALSE
98198,Seattle,FALSE
98199,Seattle,FALSE
98224,Baring,FALSE
98288,Skykomish,FALSE